# ----------------------------------------
# Classplay
# Acesso às páginas-Guia 3
# 20250802-20250831
# ----------------------------------------

Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/automacao/agentes-prontos/prompt-engineer,1,1,1,2,0,0
/automacao/biblioteca-de-prompts/assistente-de-brainstorming,1,1,1,1,0,0
/badges/index.php,1,1,1,3,0,0
/badges/mybackpack.php,1,1,1,2,0,0
/blog/index.php,1,1,1,3,0,0
/cohort/customfield.php,1,1,1,3,0,0
/conteudo/biblioteca-templo,1,1,1,4,0,0
/conteudo/cursos/introducao-iagen/parte-1,1,1,1,1,0,0
/conteudo/cursos/mini-cursos-tematicos/imagem-vdeo,1,1,1,1,0,0
/course/completion.php,1,1,1,3,0,0
/course/customfield.php,1,1,1,3,0,0
/course/defaultcompletion.php,1,1,1,3,0,0
/grade/grading/manage.php,1,1,1,3,0,0
/iplookup/index.php,1,1,1,3,0,0
/lib/editor/tiny/plugins/media/manage.php,1,1,1,2,0,0
/login/index.php,1,1,1,7,0,0
/mod/aiagents/area.php,1,1,1,3,0,0
/mod/aiagents/index.php,1,1,1,4,0,0
/mod/aiprompts/objective.php,1,1,1,3,0,0
/mod/aitools/index.php,1,1,1,3,0,0
/mod/url/view.php,1,1,1,4,0,0
/payment/accounts.php,1,1,1,3,0,0
/report/backups/index.php,1,1,1,3,0,0
/report/eventlist/index.php,1,1,1,3,0,0
/tag/manage.php,1,1,1,3,0,0
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/interview-pro,1,1,1,2,0,0
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/tech-interview-guru,1,1,1,2,0,0
/turmas-templo/controle-templo/automao-para-rh/lista-de-agentes-gpt-avanados/lista-de-agentes-gpt-avanados/treinador-de-entrevistas-tcnicas,1,1,1,2,0,0
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/analista-de-descrio-de-vaga-para-atrao-de-talentos,1,1,1,1,0,0
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/atrao-e-recrutamento-de-talento/gerador-de-descrio-de-vaga-atrativa-e-inclusiva,1,1,1,1,0,0
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/engajamento-e-cultura-organizacional,1,1,1,2,0,0
/turmas-templo/controle-templo/automao-para-rh/prompts-para-recursos-humanos/engajamento-e-cultura-organizacional/roteirista-para-onboarding-de-novos-colaboradores,1,1,1,3,0,0
/turmas-templo/controle-templo/cogna-advogados,1,1,1,1,0,0
/turmas-templo/controle-templo/ferramentas-0425/active-campaign,1,1,1,1,0,0
/turmas-templo/controle-templo/ferramentas-0425/ada,1,1,1,1,0,0
/turmas-templo/controle-templo/trabalhe-no-templo,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-brasas-iaedu/mdulo-1-introduo-ia-generativa,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-1-fundamentos-e-impactos-da-ia-generativa-no-direito,1,1,1,2,0,0
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-2-tcnicas-e-ferramentas-de-ia-generativa-para-advocacia,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-3-ia-generativa-e-automao-de-fluxos-jurdicos,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-fsb-c-ia-rp,1,1,1,2,0,0
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-2-toolbox-generativo,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-4-generative-mkt-in-action,1,1,1,2,0,0
/turmas-templo/controle-templo/turma-vibra-ia-marketing,1,1,1,1,0,0
/turmas-templo/controle-templo/turma-vibra-ia-marketing/mdulo-3-agentes-inteligentes-e-workflows-automatizados,1,1,1,2,0,0
/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe,1,1,1,1,0,0
/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos/documentao-classplay-moodle/configuraes-de-certificado,1,1,1,1,0,0
/turmas-templo/controle-templo/wow-templo/o-que-voc-deve-saber,1,1,1,1,0,0
/turmas-templo/turma-iamkt1124-ab,1,1,1,1,0,0
/turmas-templo/turma-iamkt1124-ab/mdulo-2-toolbox-generativo,1,1,1,3,0,0
/turmas-templo/turma-iamkt1124-fs,1,1,1,4,0,0
/user/calendar.php,1,1,1,6,0,0
/user/language.php,1,1,1,6,0,0

