device,pageviews,sessions,users
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-1-fundamentos-e-impactos-da-ia-generativa-no-direito,1,0,1
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-2-tcnicas-e-ferramentas-de-ia-generativa-para-advocacia,1,0,1
/turmas-templo/controle-templo/turma-dannemann-ia-law/mdulo-3-ia-generativa-e-automao-de-fluxos-jurdicos,1,0,1
/turmas-templo/controle-templo/turma-fsb-c-ia-rp,1,0,1
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-2-toolbox-generativo,1,0,1
/turmas-templo/controle-templo/turma-jbs-ia-mkt/mdulo-4-generative-mkt-in-action,1,0,1
/turmas-templo/controle-templo/turma-vibra-ia-marketing,1,0,1
/turmas-templo/controle-templo/turma-vibra-ia-marketing/mdulo-3-agentes-inteligentes-e-workflows-automatizados,1,0,1
/turmas-templo/controle-templo/wow-templo/controle/estratgia-2025/okrs-por-equipe,1,0,1
/turmas-templo/controle-templo/wow-templo/controle/repositrio-de-contedos/documentao-classplay-moodle/configuraes-de-certificado,1,0,1
/turmas-templo/controle-templo/wow-templo/o-que-voc-deve-saber,1,0,1
/turmas-templo/turma-iamkt1124-ab,1,0,1
/turmas-templo/turma-iamkt1124-ab/mdulo-2-toolbox-generativo,1,0,1
/turmas-templo/turma-iamkt1124-fs,1,0,1
/user/calendar.php,1,0,1
/user/language.php,1,0,1
