page,pageviews,sessions,users
MINI-DADOS: Participantes | Classplay,0.0,0,4.0
MINI-IMAGEMVIDEO: Participantes | Classplay,0.0,0,4.0
Mudar papel para... | Classplay,0.0,0,4.0
MundoAgents: Participantes | Classplay,0.0,0,4.0
MundoAgents: Workflow - Do Tom de Voz à Postagem | Classplay,0.0,0,4.0
Natalie Chamberlain: Perfil público | Classplay,0.0,0,4.0
Notar | Classplay,0.0,0,4.0
Novo Área de texto e mídia | TEMPLOFRE.0125T1 | Classplay,0.0,0,4.0
OPMARKETING: Participantes | Classplay,0.0,0,4.0
PROMPTSFREE: Participantes | Classplay,0.0,0,4.0
Perfil dos Monges,0.0,0,4.0
Relatório do usuário | Agente Generativo | Classplay,0.0,0,4.0
Repositório de Conteúdos,0.0,0,4.0
Seção: Seção 2 | 🔒 IA + Branding | Classplay,0.0,0,4.0
TEMPLO.FCA: Apresentação aula 1 - módulo 1 | Classplay,0.0,0,4.0
TEMPLOONB.0725T1: Manual dos Saberes | Classplay,0.0,0,4.0
TEMPLOONB.0725T1: Participantes | Classplay,0.0,0,4.0
Templates | Aparência | Administração | Classplay,0.0,0,4.0
Agentes GPT para Recursos Humanos,0.0,0,3.0
Agentes IA,0.0,0,3.0
Atividades do curso: O Mundo dos Agentes | Classplay,0.0,0,3.0
Banco de conteúdo | Classplay,0.0,0,3.0
Bancos de questões | Classplay,0.0,0,3.0
Calendário | Aparência | Administração | Classplay,0.0,0,3.0
Classplay | Home,0.0,0,3.0
Curso: Template Padrão | Classplay,0.0,0,3.0
Curso: 🔒 O Básico da IA Generativa no Marketing Digital | Classplay,0.0,0,3.0
Cursos | Blocos | Plugins | Administração | Classplay,0.0,0,3.0
EBOOKS: Manual de IAG para Treinamento e Desenvolvimento Organizacional | Classplay,0.0,0,3.0
Editar Seção: Clique no botão para acessar o Chat GPT! | Modelos de IA | Classplay,0.0,0,3.0
Editar Seção: Clique no botão para acessar o Claude! | Modelos de IA | Classplay,0.0,0,3.0
Editar Seção: Materiais Complementares | IA Generativa no Marketing Digital | Classplay,0.0,0,3.0
Editar Seção: MÓDULO 1 - Texto e IA Generativa | FCA: Formação de Talentos | Classplay,0.0,0,3.0
Editar curso: Template Padrão | Classplay,0.0,0,3.0
Editar seção: Aula 1 - Criação e Edição de Imagens com IA | TEMPLO.FCA | Classplay,0.0,0,3.0
Editar seção: Clique no botão para acessar o Chat GPT! | LLMS | Classplay,0.0,0,3.0
Editar seção: Materiais Complementares | IAG-MKTDigital. Freemium | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Acessar Agentes | LLMS | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Aplicação: Como extrair o seu tom de voz e aplicar ao seu Agente | MundoAgents | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Aula 3 | TEMPLO.FCA | Classplay,0.0,0,3.0
Editar Área de texto e mídia: ChatGPT e Playground | IntroIAG | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Como a IA pode ajudar a fazer as principais atividades do marketing digital | IAG-MKTDigital | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Descubra como a Inteligência Artificial está trans... | TEMPLOFRE.0125T1 | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Descubra o poder do Advanced Data Analysis no Chat... | MINI-DADOS | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agent - Parte 1 | MundoAgents Freemium | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Mãos à Obra: Construindo Seu Primeiro Agente | MundoAgents | Classplay,0.0,0,3.0
Editar Área de texto e mídia: Mãos à Obra: Evoluindo Seu Agent - Parte 3 | MundoAgents | Classplay,0.0,0,3.0
"""Editar Área de texto e mídia: Para ter acesso ao material completo",0.0,0,0.0
